IRIS,REG,DEP,P14_POP,P14_POP0014
010010000,84,01,767,161
010020000,84,01,239,54
010040101,84,01,1727,302
010040102,84,01,3732,757
010040201,84,01,3916,709
010040202,84,01,4646,1010
010050000,84,01,1627,336
010060000,84,01,109,12
010070000,84,01,2570,577
010080000,84,01,743,157
010090000,84,01,338,65
010100000,84,01,1142,277
010110000,84,01,397,89
010120000,84,01,325,59
010130000,84,01,157,33
010140000,84,01,3405,670
010150000,84,01,638,111
010160000,84,01,440,106
010170000,84,01,427,94
010190000,84,01,23,3
010210000,84,01,1376,298
010220000,84,01,1193,198
010230000,84,01,66,12
010240000,84,01,3386,807
010250000,84,01,3177,754
010260000,84,01,881,139
010270000,84,01,2973,410
010280000,84,01,585,123
010290000,84,01,678,134
010300000,84,01,886,201
010310000,84,01,3656,724
010320000,84,01,3296,860
010330101,84,01,1291,236
010330102,84,01,3046,579
010330201,84,01,2696,444
010330202,84,01,2743,589
010330301,84,01,1969,534
010340101,84,01,3086,541
010340102,84,01,3580,587
010340103,84,01,2317,545
010350000,84,01,321,50
010360000,84,01,549,103
010370000,84,01,282,53
010380000,84,01,731,150
010390000,84,01,467,87
010400000,84,01,477,114
010410000,84,01,749,145
010420000,84,01,265,50
010430000,84,01,4541,877
010440000,84,01,595,137
010450000,84,01,285,81
010460000,84,01,818,178
010470000,84,01,972,233
010490000,84,01,2932,594
010500000,84,01,323,83
010510000,84,01,88,8
010520000,84,01,300,59
010530101,84,01,1798,127
010530102,84,01,1875,140
010530103,84,01,2009,210
010530201,84,01,2174,293
010530202,84,01,2072,331
010530203,84,01,1770,268
010530301,84,01,2785,342
010530302,84,01,3061,538
010530401,84,01,2336,403
010530402,84,01,2471,401
010530501,84,01,1945,315
010530502,84,01,2848,487
010530503,84,01,2615,565
010530601,84,01,2908,584
010530602,84,01,1817,367
010530603,84,01,1400,258
010530604,84,01,1431,205
010530701,84,01,3652,620
010540000,84,01,1270,318
010560000,84,01,370,80
010570000,84,01,512,114
010580000,84,01,861,201
010590000,84,01,96,15
010600000,84,01,549,113
010610000,84,01,1186,264
010620000,84,01,826,178
010630000,84,01,514,92
010640000,84,01,973,199
010650000,84,01,1754,349
010660000,84,01,71,10
010670000,84,01,263,55
010680000,84,01,764,156
010690000,84,01,1466,319
010710000,84,01,4797,1129
010720000,84,01,3068,635
010730000,84,01,1007,181
010740000,84,01,2408,538
010750000,84,01,1234,277
010760000,84,01,151,27
010770000,84,01,185,38
010780000,84,01,1377,285
010790000,84,01,821,144
010800000,84,01,669,143
010810000,84,01,730,140
010820000,84,01,648,165
010830000,84,01,864,187
010840000,84,01,780,185
010850000,84,01,379,88
010870000,84,01,284,56
010880000,84,01,931,196
010890000,84,01,1999,455
010900000,84,01,332,66
010910000,84,01,3311,727
010920000,84,01,1568,355
010930000,84,01,4956,855
010940000,84,01,746,144
010950000,84,01,648,151
010960000,84,01,993,211
010970000,84,01,219,27
010980000,84,01,850,162
010990000,84,01,1530,312
011000000,84,01,139,17
011010000,84,01,157,22
011020000,84,01,957,234
011030000,84,01,1459,337
011040000,84,01,461,94
011050000,84,01,1489,285
011060000,84,01,173,41
011070000,84,01,136,25
011080000,84,01,1198,200
011090000,84,01,2163,560
011100000,84,01,130,19
011110000,84,01,118,33
011120000,84,01,416,103
011130000,84,01,828,184
011140000,84,01,563,88
011150000,84,01,1326,292
011160000,84,01,508,92
011170000,84,01,147,38
011180000,84,01,1236,224
011210000,84,01,113,21
011220000,84,01,805,147
011230000,84,01,1089,234
011240000,84,01,665,118
011250000,84,01,619,132
011270000,84,01,508,98
011280000,84,01,291,60
011290000,84,01,266,48
011300000,84,01,1414,351
011330000,84,01,384,61
011340000,84,01,1719,333
011350000,84,01,2086,474
011360000,84,01,832,179
011380000,84,01,3029,628
011390000,84,01,451,86
011400000,84,01,771,153
011410000,84,01,415,74
011420000,84,01,4441,1000
011430101,84,01,3706,703
011430102,84,01,2215,508
011430103,84,01,3180,722
011440000,84,01,888,206
011450000,84,01,1166,254
011460000,84,01,416,107
011470000,84,01,476,85
011480000,84,01,1845,310
011490000,84,01,1036,222
011500000,84,01,222,46
011510000,84,01,1150,215
011520000,84,01,764,158
011530000,84,01,2158,554
011540000,84,01,820,213
011550000,84,01,144,28
011560000,84,01,781,160
011570000,84,01,2180,449
011580000,84,01,972,230
011590000,84,01,3225,538
011600101,84,01,3308,669
011600102,84,01,2615,439
011600103,84,01,3414,655
011620000,84,01,65,19
011630000,84,01,2029,385
011650000,84,01,1515,395
011660000,84,01,2196,431
011670000,84,01,660,133
011690000,84,01,583,143
011700000,84,01,1011,249
011710000,84,01,917,208
011720000,84,01,147,31
011730101,84,01,2928,573
011730102,84,01,4707,1090
011730103,84,01,3506,685
011740000,84,01,175,39
011750000,84,01,842,191
011770000,84,01,177,37
011790000,84,01,1908,384
011800000,84,01,786,155
011810000,84,01,1187,278
011830000,84,01,1423,322
011840000,84,01,793,160
011850000,84,01,3829,478
011860000,84,01,87,21
011870000,84,01,701,103
011880000,84,01,601,135
011890000,84,01,1144,242
011900000,84,01,115,18
011910000,84,01,173,35
011920000,84,01,2294,480
011930000,84,01,231,32
011940101,84,01,4068,764
011940102,84,01,2154,443
011950000,84,01,1709,361
011960000,84,01,1124,274
011970000,84,01,356,75
011980000,84,01,276,65
011990000,84,01,2192,468
012000000,84,01,210,50
012020101,84,01,3069,567
012020102,84,01,3884,750
012030000,84,01,1191,233
012040000,84,01,699,166
012050000,84,01,1028,207
012060000,84,01,262,55
012070000,84,01,341,65
012080000,84,01,137,20
012090000,84,01,687,175
012100000,84,01,238,39
012110000,84,01,1426,321
012120000,84,01,708,148
012130000,84,01,1248,290
012140000,84,01,152,21
012150000,84,01,49,10
012160000,84,01,884,155
012180000,84,01,96,25
012190000,84,01,166,34
012210000,84,01,115,19
012240000,84,01,3158,804
012250000,84,01,395,61
012270000,84,01,458,100
012280000,84,01,639,115
012290000,84,01,1149,270
012300000,84,01,306,70
012310000,84,01,1976,412
012320000,84,01,2205,389
012330000,84,01,130,30
012340000,84,01,172,21
012350000,84,01,1032,245
012360000,84,01,987,211
012370000,84,01,1573,370
012380000,84,01,2482,529
012390000,84,01,635,119
012400000,84,01,649,134
012410000,84,01,1310,242
012420000,84,01,124,29
012430000,84,01,1224,264
012440101,84,01,2767,542
012440102,84,01,2333,462
012440103,84,01,2439,599
012450000,84,01,884,178
012460000,84,01,2137,442
012470000,84,01,348,63
012480000,84,01,2130,384
012490101,84,01,2488,508
012490102,84,01,3991,776
012490103,84,01,2946,637
012500000,84,01,1877,367
012520000,84,01,779,166
012540000,84,01,1893,364
012550000,84,01,584,134
012570000,84,01,343,59
012580000,84,01,1211,254
012590000,84,01,663,152
012600000,84,01,272,58
012610000,84,01,655,131
012620101,84,01,3444,743
012620102,84,01,3592,772
012630000,84,01,3811,790
012640000,84,01,1013,235
012650000,84,01,3409,705
012660000,84,01,2452,395
012670000,84,01,1027,206
012680000,84,01,253,51
012690000,84,01,3534,739
012720000,84,01,1494,278
012730000,84,01,1645,347
012740000,84,01,638,144
012750000,84,01,2467,440
012760000,84,01,1529,310
012770000,84,01,119,25
012790000,84,01,96,15
012800000,84,01,157,34
012810000,84,01,4303,1007
012820000,84,01,258,51
012830102,84,01,2147,574
012830103,84,01,2817,678
012830104,84,01,2338,783
012830201,84,01,2488,497
012830202,84,01,2081,349
012830203,84,01,2329,493
012830301,84,01,2536,534
012830302,84,01,18,0
012830303,84,01,2178,534
012830304,84,01,1975,311
012830305,84,01,1447,237
012830306,84,01,132,30
012840000,84,01,659,137
012850000,84,01,1153,256
012860000,84,01,936,189
012880000,84,01,2489,567
012890101,84,01,2732,442
012890102,84,01,3464,518
012900000,84,01,1206,190
012910000,84,01,796,163
012930000,84,01,178,40
012940000,84,01,838,161
012950000,84,01,640,177
012960000,84,01,396,87
012970000,84,01,749,141
012980000,84,01,123,21
